Category,cleaned_resume,LabelEncoding
Data Science,programming language python pandas numpy scipy scikitlearn matplotlib sql java javascriptjquery machine learn regression svm nave baye knn random forest decision tree boost technique cluster analysis word embed sentiment analysis natural language process dimensionality reduction topic model lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch d3js dcjs plotly kibana matplotlib ggplot tableau other regular expression html css angular 6 logstash kafka python flask git docker computer vision open cv understand deep learningeducation detail datum science assurance associate datum science assurance associate ernst young llp skill detail javascript exprience 24 month jquery exprience 24 month python exprience 24 monthscompany detail company ernst young llp description fraud investigation dispute service assurance technology assist review tar technology assist review assist accelerate review process run analytic generate report core member team help develop automate review platform tool scratch assist e discovery domain tool implement predictive code topic model automate review result reduce labor cost time spend lawyer review understand end end flow solution research development classification model predictive analysis mining information present text datum work analyze output precision monitor entire tool tar assist predictive code topic modelling evidence follow ey standard develop classifier model order identify red flag fraudrelated issue tool technology python scikitlearn tfidf word2vec doc2vec cosine similarity nave bayes lda nmf topic model vader text blob sentiment analysis matplot lib tableau dashboard report multiple datum science analytic project usa client text analytic motor vehicle customer review datum receive customer feedback survey datum past one year perform sentiment positive negative neutral time series analysis customer comment across 4 category create heat map term survey category base frequency word extract positive negative word across survey category plot word cloud create customize tableau dashboard effective reporting visualization chatbot develop user friendly chatbot one product handle simple question hour operation reservation option chat bot serve entire product relate question give overview tool via qa platform also give recommendation response user question build chain relevant answer intelligence build pipeline question per user requirement ask relevant recommend question tool technology python natural language processing nltk spacy topic model sentiment analysis word embed scikitlearn javascriptjquery sqlserver information governance organization make informed decision information store integrate information governance portfolio synthesize intelligence across unstructured data source facilitate action ensure organization well position counter information risk scan data multiple source format parse different file format extract meta datum information push result index elastic search create customize interactive dashboard use kibana preform rot analysis datum give information datum helps identify content either redundant outdate trivial preforming fulltext search analysis elastic search predefine method tag pii personally identifiable information social security number address name etc frequently target cyberattack tool technology python flask elastic search kibana fraud analytic platform fraud analytic investigative platform review red flag case fap fraud analytic investigative platform inbuilt case manager suite analytic various erp system use client interrogate accounting system identify anomaly indicator fraud run advanced analytic tool technology html javascript sqlserver jquery css bootstrap nodejs d3js dcjs,6
Data Science,education detail may 2013 may 2017 uitrgpv data scientist data scientist matelabs skill detail python exprience less 1 year month statsmodels exprience 12 month aw exprience less 1 year month machine learn exprience less 1 year month sklearn exprience less 1 year month scipy exprience less 1 year month keras exprience less 1 year monthscompany detail company matelab description ml platform business professional dummy enthusiast 60a koramangala 5th block achievementstask behind sukh sagar bengaluru india develop deploy auto preprocessing step machine learn mainly miss value treatment outli detection encode scale feature selection dimensionality reduction deploy automate classification regression model linkedincominadityarathore b4600b146 reasearch deploy time series forecasting model arima sarimax holtwinter prophet work metafeature extract problem githubcomrathorology implement state art research paper outlier detection mix attribute company matelab description,6
Data Science,area interest deep learn control system design programming inpython electric machinery web development analytic technical activity q hindustan aeronautic limit bangalore 4 week guidance mr satish senior engineer hangar mirage 2000 fighter aircraft technical programming matlab python java labview python webframeworkdjango flask ltspiceintermediate language mipowerintermediate github gitbash jupyter notebook xampp mysqlbasics python software package interpretersanaconda python2 python3 pycharm java ideeclipse operating system windows ubuntu debiankali linux education detail january 2019 btech electrical electronics engineering manipal institute technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy high datum science data science electrical enthusiast skill detail datum analysis exprience less 1 year month excel exprience less 1 year month machine learn exprience less 1 year month mathematic exprience less 1 year month python exprience less 1 year month matlab exprience less 1 year month electrical engineering exprience less 1 year month sql exprience less 1 year monthscompany detail company themathcompany description currently work casino base operatorname disclose macaui need segment customer visit property base value patron bring companybasically prove segmentation do much well way current system proper number back uphenceforth implement target marketing strategy attract customer add value business,6
Data Science,r python sap hana tableau sap hana sql sap hana pal ms sql sap lumira c linear programming datum model advance analytic scm analytic retail analytic social medium analytic nlp education detail january 2017 january 2018 pgdm business analytic great lakes institute management illinois institute technology january 2013 bachelor engineering electronic communication bengaluru karnataka new horizon college engineering bangalore visvesvaraya technological university datum science consultant consultant deloitte usi skill detail linear programming exprience 6 month retail exprience 6 month retail marketing exprience 6 month scm exprience 6 month sql exprience less 1 year month deep learn exprience less 1 year month machine learn exprience less 1 year month python exprience less 1 year month r exprience less 1 year monthscompany detail company deloitte usi description project involve analyse historic deal come insight optimize future deal role give raw datum carry end end analysis present insight client key responsibility extract data client system across geography understand build report tableau infer meaningful insight optimize price find process blockade technical environment r tableau industry cross industry service area cross industry product project name handwriting recognition consultant 3 month project involve take handwritten image convert digital text image object detection sentence creation role develop sentence correction functionality key responsibility gather datum large enough capture english word train lstm model word technical environment python industry finance service area financial service bi development project name swift consultant 8 month project develop analytic infrastructure top sap s4 would user view financial report respective department report also include forecasting expense role lead offshore team key responsibility design develop data model report develop etl datum flow validate various report technical environment sap hana tableau sap ao industry healthcare analytic service area life sciences product development project name clinical healthcare system consultant 2 month project develop analytic infrastructure top argus would allow user query fast provide advance analytic capability role involve design deploy phase perform lot datum restructuring build model insight key responsibility design develop data model report develop deploy analytical model validate various report technical environment datum model sap hana tableau nlp industry fmcg service area trade promotion project name consumption base planning flower food consultant 8 month project involve set crm cbp module role involve key datum decomposition activity set base future year forecast course project develop various model carry key performance improvement key responsibility design develop hana model decomposition develop data flow forecast develop various view report customersalesfund validate various report bobj technical environment datum model sap hana bobj time series forecast internal initiative industry fmcg customer segmentation rfm analysis consultant 3 month initiative involve set hanapython interface advance analytic python course successfully segment datum five core segment use kmean carry rfm analysis python also develop algorithm categorize new customer define bucket technical environment anaconda3 python36 hana sps12 industry telecom invoice state detection consultant 1 month initiative reduce manual effort verifying close open invoice manually involve development decision tree classify openclose invoice enable effort reduction 60 technical environment r sap pal sap hana sps12 accenture industry analytic cross industry process analytic sap senior developer 19 month accenture solutions pvt ltd india project involve development sap analytic tool process analytic ipa role develop database object datum model provide operational insight client role develop various finance relate kpis spearhead various deployment introduce sap predictive analytic reduce development time reuse functionality kpi prepared production planning report key responsibility involve information gather phase design implement sap hana datum model use attribute view analytic view calculation view develop various kpis individually use complex sql script calculation view create procedure hana database take ownership develop dashboard functionality involve build datum processing algorithm execute r server cluster analysis technical environment r sap hana tsql industry cross industry accenture testing accelerator sap database developer 21 month accenture solutions pvt ltd india role take care development activity atas tool also complete various deployment product apart activity also actively involve maintenance database server production quality key responsibility analyze business requirement understand scope get requirement clarify interact business transform requirement generate attribute mapping document review mapping specification documentation create update database object like table view store procedure function package monitor sql server error log application log sql server agent prepare data flow diagram entity relationship diagram use uml responsible designing develop normalization database table performance tune use sql profiler involve qa uat knowledge transfer support activity technical environment sql server 20082014 visual studio 2010 window server performance monitor sql server profiler c plsql tsql,6
Data Science,education detail mca ymcaust faridabad haryana data science internship skill detail datum structure exprience less 1 year month c exprience less 1 year month data analysis exprience less 1 year month python exprience less 1 year month core java exprience less 1 year month database management exprience less 1 year monthscompany detail company itechpower description,6
Data Science,c basic iot python matlab data science machine learn html microsoft word microsoft excel microsoft powerpoint recognition academic secure first place btecheducation detail august 2014 may 2018 btech ghatkesar andhra pradesh aurora scientific technological institute june 2012 may 2014 secondary education warangal telangana sr junior college datum science skill detail ms office exprience less 1 year month c exprience less 1 year month machine learn exprience less 1 year month data science exprience less 1 year month matlab exprience less 1 year monthscompany detail company description,6
Data Science,python tableau data visualization r studio machine learn statistic iabac certify data scientist versatile 1 + year manage business datum science consulting lead innovation project bring business idea work real world solution strong advocator augmented era human capability enhance machine fahe passionate bring business concept area machine learning ai robotic etc real life solutionseducation detail january 2017 b tech computer science engineering mohali punjab indo global college engineering datum science consultant datum science consultant datamite skill detail machine learn exprience 13 month python exprience 24 month solution exprience 24 month datum science exprience 24 month datum visualization exprience 24 month tableau exprience 24 monthscompany detail company datamite description analyze process complex data set use advanced query visualization analytic tool responsible loading extract validation client datum work manipulate cleaning processing datum use python use tableau datum visualization company heretic solution pvt ltd description work closely business identify issue use datum propose solution effective decision make manipulate cleansing processing datum use python excel r analyze raw datum draw conclusion develop recommendation use machine learning tool statistical technique produce solution problem,6
Data Science,education detail btech rayat bahra institute engineering biotechnology datum science datum science skill detail numpy exprience less 1 year month machine learn exprience less 1 year month tensorflow exprience less 1 year month scikit exprience less 1 year month python exprience less 1 year month gcp exprience less 1 year month panda exprience less 1 year month neural network exprience less 1 year monthscompany detail company wipro description bhawana aggarwal emailbhawanachdgmailcom phone vversatile highenergy professional target challenge assignment machine profile summary professional knowledge 2 year wipro technology machine learn deep learn datum science python software development skilled manage endtoend development software product project inception requirement spec plan design implementation configuration documentation knowledge python machine learn deep learn datum science algorithm neural network nlp gcp knowledge python librarie like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learn like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervise supervised reinforcement datum programming relational platform like mysqloracle knowledge programming language like c++java cloud base environment like google cloud work different operating system like linux ubuntu window good interpersonal communication problem solve ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability technical programming language python c librarie seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean cluster tensorflow svm database sql oracle operating system linux window development environment netbean notebook sublime ticket tool service remedy education ug education btech computer science rayat bahra institute engineering biotechnology pass 784 in 2016 schooling xii 2012 moti ram arya sr secondary schoolpasse 784 x 2010 valley public school pass 94 cgpa work experince title wipro neural intelligence platform team size 5 brief wipros neural intelligence platform harness power automation artificial intelligence technologiesnatural language processing nlp cognitive machine learn analytic platform comprise three layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine include sentiment predictive analytic deep machine learn engine sense act learn time project entail automate response user query early monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activity eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu apis machine learn use tensor flow learn new entity classifier involve classification class train dataset predict output use sklearn classifier mnb svm sgd classifier sgd optimization map user query well suited response make system efficient ner deep learn ner model train extract entity text entity like role organization extract raw text rnnlstm bidirectional model train extract entity use keras tensorflow framework project title diabetes detection brief develop software detect whether person suffer diabete get third prize training certification title python training machine learn datum science deep learn organization udemy coursera machine learn deep learn personal profile father name mr tirlok aggarwal language know english hindi marital status single date birthgender19931220yyyymmdd f company wipro description develop program python company wipro description title wipro neural intelligence platform team size 5 brief wipros neural intelligence platform harness power automation artificial intelligence technologiesnatural language processing nlp cognitive machine learn analytic platform comprise three layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine include sentiment predictive analytic deep machine learn engine sense act learn time project entail automate response user query early monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activity eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu apis machine learn use tensor flow learn new entity classifier involve classification class train dataset predict output use sklearn classifier mnb svm sgd classifier sgd optimization map user query well suited response make system efficient ner deep learn ner model train extract entity text entity like role organization extract raw text rnnlstm bidirectional model train extract entity use keras tensorflow framework company wipro technology description professional knowledge 2 year wipro technology machine learn deep learn datum science python software development skilled manage endtoend development software product project inception requirement spec plan design implementation configuration documentation knowledge python machine learn deep learn datum science algorithm neural network nlp gcp knowledge python librarie like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learn like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervise supervised reinforcement datum programming relational platform like mysqloracle knowledge programming language like c++java cloud base environment like google cloud work different operating system like linux ubuntu window good interpersonal communication problem solve ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability,6
Data Science,personal ability quickly grasp technical aspect willingness learn high energy level result orient education detail january 2018 master engineering computer technology application bhopal madhya pradesh truba institute engineering information technology january 2010 computer science bhopal madhya pradesh rkdf institute science technology college engineering january 2006 polytechnic information technology vidisha madhya pradesh sati engineering college vidisha january 2003 mtech thesis detail bmch school ganj basoda data science six month data science key machine learn deep lean nlp python sql web scrape good knowledge computer subject ability update skill detail machine learn deep learn nlp python sql web crawl htmlcss exprience less 1 year monthscompany detail company rntai technology solution description text classification use machine learn algorithm python practical knowledge deep learn algorithm recurrent neural networksrnn develop custom datum model algorithm dataset python package like panda scikitlearn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis leave dataset use classification technique like tfidf lsa cosine similarity use machine learning algorithm web crawl use selenium web driver beautiful soup python company life insurance corporation india bhopal description explain policy feature benefit update knowledge life insurance product share customer,6
Data Science,expertise datum quantitative analysis decision analytic predictive model datadriven personalization kpi dashboards big datum query interpretation datum mining visualization tool machine learn algorithm business intelligence bi research report forecast education detail pgp datum science mumbai maharashtra aegis school datum science business electronic communication electronic communication indore madhya pradesh ies ips academy data scientist data scientist pr canada skill detail algorithm exprience 6 month bi exprience 6 month business intelligence exprience 6 month machine learn exprience 24 month visualization exprience 24 month spark exprience 24 month python exprience 36 month tableau exprience 36 month datum analysis exprience 24 monthscompany detail company aegis school datum science business description mostly work industry project provide solution along teach appointment teach undergraduate graduatelevel course spark machine learn adjunct faculty member aegis school datum science mumbai 2017 present company aegis school datum business description data science intern nov 2015 jan 2016 furnish executive leadership team insight analytic report recommendation enable effective strategic planning across business unit distribution channel product line chat bot use aws lex tensor flow python goal project create chat bot academic institution university handle query related course offer institute objective task reduce human effort well reduce man make error even company handle client 24x7 case company academic institution client participant student web scrape use selenium web driver python task scrap data online message portal text format find pattern form datum visualization datum insight hadoop eco system hive pyspark qliksense goal project build business solution internet service provider company like handle datum generate per day basis visualize datum find usage pattern form generate report image base fraud detection microsoft face api pyspark open cv main goal project recognize similarity face give database image face recognition recognize special face set different face face extract compare database image image recognize person already apply loan somewhere else hide identity go prevent fraud initial stage churn analysis internet service provider r python machine learn hadoop objective identify customer likely churn give period time pretend customer give incentive offer sentiment analysis python nlp apache spark service ibm bluemix project highly emphasis tweet twitter datum take mobile network service provider sentiment analysis analyze whether express opinion positive negative neutral capture emotion tweet comparative analysis quantifiable result mentor 712 datum science enthusiast year since go graduate school datum science business analytic review evaluate 2040 research paper datum science one large data science conference call data science congress aegis school business mumbai head solution provide organization call data science deliver aegis school datum science mumbai manage 45 live project use datum science technique work social cause help data science social good committee team develop product call let find miss child help society company ibm india pvt ltd description mostly work blumix ibm watson datum science,6
